"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 14 13:49:55 GMT 2023","Fri Jul 14 13:49:55 GMT 2023","248","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","negativeGetArtistInfo","negativeGetArtistInfo",""
"passed","Fri Jul 14 13:49:55 GMT 2023","Fri Jul 14 13:49:56 GMT 2023","413","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","positiveCheckUserSavedAlbums","positiveCheckUserSavedAlbums",""
"passed","Fri Jul 14 13:49:50 GMT 2023","Fri Jul 14 13:49:54 GMT 2023","3805","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","deleteUserSavedAlbums","deleteUserSavedAlbums",""
"passed","Fri Jul 14 13:49:55 GMT 2023","Fri Jul 14 13:49:55 GMT 2023","323","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","negativeGetAlbum","negativeGetAlbum",""
"passed","Fri Jul 14 13:49:57 GMT 2023","Fri Jul 14 13:49:57 GMT 2023","254","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","positiveSaveAlbumsToCurrentUser","positiveSaveAlbumsToCurrentUser",""
"passed","Fri Jul 14 13:49:55 GMT 2023","Fri Jul 14 13:49:55 GMT 2023","242","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","negativeSaveAlbumsToCurrentUser","negativeSaveAlbumsToCurrentUser",""
"passed","Fri Jul 14 13:49:57 GMT 2023","Fri Jul 14 13:49:58 GMT 2023","753","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","searchInSpotify","searchInSpotify",""
"passed","Fri Jul 14 13:49:56 GMT 2023","Fri Jul 14 13:49:57 GMT 2023","244","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","positiveGetArtistInfo","positiveGetArtistInfo",""
"passed","Fri Jul 14 13:49:56 GMT 2023","Fri Jul 14 13:49:56 GMT 2023","476","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","positiveGetAlbum","positiveGetAlbum",""
"passed","Fri Jul 14 13:49:54 GMT 2023","Fri Jul 14 13:49:55 GMT 2023","481","Surefire suite","Surefire test","com.spotify.SpotifyTest","com.spotify.SpotifyTest","negativeCheckUserSavedAlbums","negativeCheckUserSavedAlbums",""
